1000
60
25,30,32,29,6,1,19,25,33,9,30,30,14,3,18,23,0,10,19,29,0,32,33,21,19,3,2,8,25,11,29,32,4,26,1,9,19,9,7,0,2,18,31,1,31,18,30,8,9,29,29,11,19,3,4,25,3,24,12,18
0.271,0.265,0.45,0.601,0.572,0.294,0.26,0.448,0.248,0.019,0.94,0.185,0.736,0.751,0.184,0.694,0.277,0.832,0.309,0.182,0.813,0.044,0.762,0.11,0.977,0.584,0.041,0.088,0.807,0.931,0.89,0.21,0.635,0.888,0.219,0.13,0.865,0.364,0.435,0.58,0.223,0.718,0.946,0.649,0.466,0.678,0.548,0.774,0.914,0.303,0.001,0.448,0.389,0.902,0.883,0.332,0.801,0.344,0.582,0.92
6.653,11.166,12.523,18.175,14.775,11.635,9.656,18.72,18.5,16.923,17.42,12.465,11.236,9.598,12.481,18.018,6.82,17.19,11.662,18.714,15.814,18.251,13.525,9.501,5.037,14.87,13.317,15.253,9.414,8.321,9.466,12.326,5.505,5.539,12.21,11.489,16.371,9.227,14.403,14.921,7.215,18.046,18.153,14.152,14.159,18.171,15.535,12.732,6.6,9.194,10.065,12.271,9.261,13.295,19.105,8.28,9.939,10.663,11.902,16.464
0.0,4.898,3.81,3.178,3.122,0.695,2.958,0.593,0.43,2.509,3.463,4.239,4.13,1.508,4.952,3.872,5.0,2.367,4.139,1.008,0.555,4.65,4.641,0.917,1.074,1.118,2.12,1.084,3.556,0.112,2.279,4.48,4.507,1.037,3.559,4.466,3.704,3.44,3.958,0.613,2.23,2.394,4.872,3.138,1.018,4.516,1.027,4.493,1.023,2.684,3.834,0.995,4.423,2.579,0.652,0.92,2.851,3.124,0.45,0.265
1.715,0.0,2.655,1.571,3.46,2.969,2.762,3.064,4.466,1.152,3.796,3.741,4.217,4.772,0.991,3.192,3.454,3.919,3.296,0.429,1.146,1.782,2.022,2.509,1.381,2.92,1.87,3.922,1.847,1.283,0.255,4.029,2.013,1.15,1.206,4.714,1.312,4.889,0.94,2.035,2.267,3.181,3.441,0.38,2.162,2.139,2.199,4.204,0.784,2.896,2.512,3.932,1.394,1.208,3.971,3.222,0.863,3.978,4.55,0.688
2.7,0.544,0.0,3.077,4.864,1.369,2.766,3.533,4.949,2.673,1.976,1.613,2.889,1.21,3.637,1.862,4.052,2.061,3.863,2.929,4.475,3.772,1.354,4.521,3.429,1.303,3.235,3.931,0.165,1.043,0.757,3.657,3.158,3.213,4.789,0.776,0.712,3.333,4.665,1.411,4.608,0.774,3.51,1.963,4.321,4.558,0.89,2.05,4.458,3.556,2.181,0.704,0.186,2.232,4.387,4.613,3.414,2.437,3.898,1.524
3.765,4.364,0.646,0.0,4.163,0.955,1.544,4.535,2.824,4.407,0.486,2.098,2.095,0.766,1.969,2.374,1.25,0.61,4.34,2.485,0.286,3.971,1.827,4.902,1.936,2.543,0.639,2.286,4.543,3.14,4.523,4.701,1.37,4.965,2.851,4.637,1.06,1.584,1.577,1.484,2.296,4.463,3.391,1.599,3.256,3.667,2.083,1.48,3.247,0.489,0.123,1.051,1.122,1.579,1.446,0.366,1.958,4.647,2.038,0.444
1.547,0.683,1.19,3.464,0.0,0.67,4.731,4.145,2.971,4.151,3.148,4.029,1.7,2.466,4.686,0.684,3.685,3.441,1.596,0.242,4.418,2.972,1.606,1.395,0.727,0.895,4.648,4.204,4.343,1.359,0.403,1.176,4.572,0.379,4.362,2.028,4.724,4.466,0.98,0.154,2.967,3.133,4.897,2.528,1.103,2.438,2.05,0.236,0.814,0.107,0.935,0.625,0.109,1.104,3.332,2.96,1.53,2.529,3.288,1.098
2.991,0.734,4.141,3.283,3.635,0.0,1.369,1.17,1.712,1.109,2.176,3.322,2.554,1.262,1.029,0.6,3.301,0.395,0.656,4.867,3.736,3.498,4.401,1.163,2.33,2.108,0.852,2.716,3.279,3.417,1.714,1.372,1.422,1.33,0.894,2.485,4.243,3.822,2.396,3.895,1.374,4.961,3.944,3.044,4.269,1.803,0.556,1.255,3.742,3.587,3.215,2.902,0.236,2.33,1.203,1.556,3.692,0.837,2.274,0.319
4.941,4.031,3.194,1.625,4.352,0.588,0.0,4.986,2.78,4.849,1.284,0.731,2.478,4.015,2.942,1.856,4.7,0.845,3.865,2.71,3.804,1.354,4.524,0.554,3.3,4.442,1.759,2.446,3.728,3.799,4.495,1.545,3.697,4.096,1.58,2.9,3.957,1.504,0.78,2.037,2.438,3.61,1.572,2.719,4.293,1.87,4.655,1.236,4.348,2.472,4.308,4.258,3.188,0.517,0.285,2.979,3.766,4.922,4.064,4.788
