600
40
15,11,27,13,10,12,2,29,11,27,17,2,10,22,30,4,5,25,29,2,30,11,2,28,2,23,2,6,3,19,18,20,18,23,20,1,6,22,14,29
0.048,0.867,0.444,0.023,0.347,0.365,0.703,0.634,0.427,0.213,0.627,0.883,0.065,0.372,0.186,0.45,0.558,0.632,0.621,0.332,0.208,0.095,0.242,0.67,0.633,0.386,0.335,0.091,0.569,0.672,0.56,1.0,0.31,0.045,0.42,0.046,0.371,0.064,0.863,0.544
11.378,8.605,13.765,6.091,15.27,18.984,16.741,8.877,15.521,6.019,8.588,9.65,14.163,9.902,13.32,5.734,5.306,13.722,17.213,9.33,11.107,19.799,9.586,19.82,7.434,6.752,14.206,16.962,11.287,7.341,19.341,12.902,18.293,8.769,12.856,19.743,5.671,10.107,10.912,12.351
0.0,0.606,2.639,0.915,0.712,3.188,4.806,2.065,1.46,0.498,2.458,2.307,1.734,1.058,0.58,4.569,2.879,1.503,3.069,1.445,4.895,3.747,1.378,0.337,1.985,4.814,0.492,0.282,4.993,3.168,4.817,2.212,3.67,4.55,4.267,2.776,3.234,1.175,3.848,0.612
4.597,0.0,4.055,4.536,4.06,4.262,0.781,4.954,1.782,2.403,1.594,3.177,0.366,4.765,0.601,2.634,4.345,2.757,1.282,1.24,1.747,4.253,2.861,3.571,4.891,3.175,2.821,0.668,3.7,3.027,2.024,1.502,1.206,2.512,0.623,0.749,4.994,1.818,2.131,3.496
2.891,4.482,0.0,0.709,4.486,2.873,2.404,4.982,4.183,4.905,4.401,0.737,0.329,2.152,1.252,2.604,0.101,2.776,2.829,2.77,1.516,0.531,3.113,3.404,0.159,1.039,4.696,2.053,2.227,4.902,1.203,2.1,3.563,1.338,4.034,0.872,4.617,2.817,4.336,4.519
0.849,2.84,2.599,0.0,0.503,1.482,3.032,1.047,0.844,1.406,2.484,3.574,3.934,1.916,1.962,0.548,3.931,1.528,3.23,3.812,4.823,4.594,4.588,2.41,4.609,4.327,3.0,1.473,1.898,3.438,1.857,2.46,0.6,3.269,3.772,2.094,1.77,4.149,4.994,2.832
3.384,2.376,2.811,0.288,0.0,0.263,2.911,1.478,4.84,1.903,1.158,2.838,1.726,3.246,1.121,0.803,2.518,1.603,3.663,2.412,1.977,3.317,1.586,1.762,0.136,2.864,2.032,0.585,2.73,2.586,3.611,0.868,2.205,4.634,4.239,4.866,4.209,1.264,3.039,3.774
4.618,3.28,0.706,2.888,3.163,0.0,1.769,0.522,2.202,4.914,0.836,3.748,2.535,2.668,1.479,3.928,1.254,4.302,4.452,3.018,2.841,4.417,0.559,2.779,2.553,0.173,0.575,4.968,4.88,2.402,2.037,2.497,0.723,2.035,0.173,2.51,0.243,4.592,1.112,1.088
1.525,4.319,1.022,3.174,3.201,3.187,0.0,0.669,2.643,1.258,2.395,2.433,1.344,4.186,3.633,1.832,3.223,4.149,2.183,4.727,0.906,0.877,4.149,2.362,4.752,4.447,1.1,4.221,0.202,2.693,2.312,4.886,1.429,3.333,1.545,3.117,3.042,2.022,4.449,3.883
0.623,1.581,2.134,3.216,3.97,4.306,0.561,0.0,3.107,3.824,4.076,0.891,4.336,1.656,3.569,4.274,3.719,0.311,4.843,1.02,3.782,2.899,4.56,2.072,1.702,3.691,4.301,3.184,2.599,3.192,0.62,3.154,2.56,3.683,2.713,1.779,4.104,0.267,2.89,3.509
1.982,3.252,0.422,3.015,3.66,2.423,4.087,4.025,0.0,1.301,4.568,1.492,0.238,4.205,4.699,0.876,3.396,4.892,3.159,1.249,3.458,1.374,3.387,1.998,0.813,0.368,2.975,3.446,1.03,4.549,2.491,4.51,4.563,2.422,1.128,2.147,4.964,3.859,4.553,3.339
3.728,3.139,0.236,3.312,3.399,1.858,0.862,2.891,0.745,0.0,1.9,4.283,3.363,3.524,0.103,3.684,3.542,2.414,4.148,4.818,0.515,2.451,2.905,3.205,3.52,0.939,2.688,1.72,3.348,4.972,1.965,2.294,3.175,1.756,0.332,4.665,3.84,2.444,0.73,4.683
2.583,3.159,2.274,1.173,4.032,0.844,2.308,4.445,2.28,4.83,0.0,3.242,4.144,2.933,4.321,2.544,4.694,1.995,1.769,2.289,1.413,3.1,3.379,0.749,1.988,1.018,1.495,3.498,4.125,4.238,3.245,2.971,4.921,1.183,3.73,3.912,1.913,1.399,3.116,3.173
0.474,0.509,0.389,4.364,2.142,1.232,3.782,1.021,3.528,4.468,4.818,0.0,2.805,0.502,2.761,4.165,3.685,1.789,2.731,0.654,3.713,1.791,4.419,3.857,4.475,4.143,0.707,0.477,3.473,0.657,3.726,3.375,3.942,3.473,3.819,1.729,3.052,1.007,1.752,2.569
4.265,0.94,2.961,3.448,1.353,1.303,3.34,0.491,0.861,1.181,3.298,1.966,0.0,2.163,2.74,4.053,0.578,4.623,1.456,4.7,0.768,4.996,1.191,0.443,2.516,0.771,2.876,0.601,0.215,0.661,2.697,3.036,3.106,3.46,0.362,3.011,3.084,3.957,3.931,0.775
1.14,0.355,4.488,4.888,1.289,3.587,0.102,2.925,0.163,4.094,0.806,2.27,1.863,0.0,2.457,3.775,0.618,2.281,4.829,4.613,1.329,0.609,0.781,1.946,1.613,0.475,4.02,0.112,4.138,3.614,3.727,1.048,2.042,2.462,2.321,0.453,1.026,3.738,2.029,2.333
2.688,0.297,3.238,0.107,3.683,1.858,2.691,0.21,3.662,3.302,2.156,3.66,2.038,4.873,0.0,3.031,3.869,4.204,4.788,3.453,1.162,4.95,2.571,4.978,1.388,4.979,2.529,3.073,0.582,3.466,2.392,2.262,4.698,3.144,1.823,4.193,1.39,0.179,3.906,3.317
1.596,0.542,4.403,3.165,3.218,1.279,1.365,4.908,4.438,3.983,3.309,2.312,1.723,0.167,0.844,0.0,0.316,2.339,4.818,2.668,4.562,0.512,4.856,4.443,2.135,4.37,3.454,1.671,1.461,4.159,1.395,4.889,0.877,3.773,3.595,0.759,0.88,1.086,2.049,4.776
2.85,4.738,2.905,4.898,2.17,4.776,4.13,0.239,0.18,2.358,1.842,2.485,2.27,2.073,3.98,3.647,0.0,2.468,0.868,2.892,1.838,3.743,2.494,3.786,0.403,3.4,3.912,4.72,4.882,2.201,4.928,0.701,4.401,2.632,0.437,0.639,2.68,1.416,1.935,1.21
1.299,0.295,2.505,3.514,0.703,4.401,1.585,3.494,4.824,1.47,3.511,0.444,3.248,3.628,1.764,0.123,4.636,0.0,4.13,2.568,2.217,3.98,1.434,2.167,1.992,1.433,1.184,2.16,2.154,0.62,2.421,3.701,0.473,4.622,0.517,3.435,2.498,4.059,2.484,4.123
1.404,4.752,2.008,3.849,3.254,4.906,2.054,3.411,4.786,4.366,1.367,3.546,1.922,3.397,3.458,2.151,2.599,4.009,0.0,4.834,2.463,2.614,4.725,2.726,1.331,1.668,2.632,2.525,3.488,4.691,4.654,3.669,0.84,2.24,3.359,3.936,1.071,0.474,3.591,2.092
3.562,4.993,1.591,4.788,3.108,0.418,3.485,2.52,2.734,3.624,2.046,0.19,0.161,0.961,3.038,2.942,0.139,4.896,2.485,0.0,1.912,3.344,1.854,3.829,2.212,3.193,1.104,3.285,1.499,3.24,4.976,4.896,3.244,0.18,0.842,0.525,2.284,2.407,3.665,3.741
4.542,3.529,3.683,4.763,3.472,4.485,2.13,4.916,2.719,0.702,1.702,1.399,4.31,3.92,3.192,0.272,3.371,4.419,0.561,1.227,0.0,0.808,2.388,3.403,2.144,4.884,4.095,4.429,3.86,0.363,4.895,2.173,0.145,3.846,4.706,0.807,2.94,4.322,1.531,4.348
0.405,3.316,4.457,2.23,4.517,3.758,3.832,0.584,3.145,1.097,2.399,1.04,2.348,2.077,0.373,0.968,0.886,1.354,1.165,1.92,1.38,0.0,4.471,1.516,4.497,2.241,2.041,2.82,4.846,4.417,2.545,0.781,2.975,4.003,0.999,4.662,0.29,2.207,0.492,3.151
1.572,1.315,0.278,3.394,0.853,4.82,4.958,4.159,2.716,4.055,4.22,1.108,3.881,1.65,0.888,3.241,3.484,3.85,4.357,4.913,1.116,0.833,0.0,4.427,0.609,4.319,3.432,1.478,0.465,4.791,2.723,1.515,0.967,3.985,3.616,0.221,0.182,1.698,0.483,1.937
4.681,3.366,4.054,0.483,3.006,3.058,2.247,2.238,2.25,3.149,2.236,1.489,0.968,0.27,2.722,2.654,4.858,0.881,2.18,4.232,0.961,4.286,1.613,0.0,4.851,4.603,1.073,4.657,1.811,0.114,2.247,3.172,3.954,4.611,3.447,3.829,4.404,0.889,3.39,2.848
2.921,0.812,3.438,0.448,2.884,3.151,2.365,4.082,0.113,3.736,3.107,0.929,1.846,3.517,3.25,3.499,1.607,4.509,1.436,4.317,0.118,0.708,2.863,4.725,0.0,0.714,0.413,3.765,1.248,4.277,0.724,1.749,1.135,4.275,2.23,0.987,1.469,1.563,2.886,2.655
