1000
50
6,43,41,1,36,9,30,24,34,14,23,14,13,21,17,3,7,20,13,9,23,33,38,4,13,36,1,24,1,13,16,1,6,16,40,34,36,9,17,33,19,34,9,43,28,13,23,36,21,2
0.43,0.228,0.899,0.266,0.885,0.477,0.183,0.282,0.254,0.584,0.929,0.497,0.934,0.612,0.248,0.728,0.622,0.302,0.228,0.935,0.771,0.352,0.908,0.118,0.815,0.153,0.102,0.11,0.288,0.674,0.012,0.282,0.295,0.971,0.159,0.325,0.304,0.265,0.576,0.496,0.541,0.564,0.811,0.458,0.107,0.61,0.809,0.504,0.213,0.485
15.909,8.529,16.453,18.671,18.206,16.117,18.591,11.903,14.24,19.9,12.51,13.984,12.609,12.058,15.448,8.352,12.706,8.798,19.618,14.839,19.588,8.391,6.747,7.348,17.168,11.193,12.602,8.815,13.202,9.5,15.668,17.571,13.466,12.897,5.024,10.766,5.714,17.478,7.062,15.503,7.513,7.897,14.275,9.525,18.421,14.211,8.006,17.227,14.603,19.527
0.0,1.543,0.969,0.662,1.085,1.756,2.076,2.478,1.887,1.303,1.413,1.302,3.741,1.444,0.924,0.854,3.094,3.768,1.379,1.568,1.262,3.938,2.949,1.832,0.753,0.234,3.008,3.539,0.217,1.225,4.573,3.407,4.009,4.993,1.622,2.347,0.911,1.013,1.683,0.768,2.789,4.943,1.66,4.642,0.208,4.63,1.531,4.193,3.859,0.722
0.526,0.0,0.778,1.107,3.464,4.0,3.745,0.389,2.834,0.699,0.772,3.46,4.055,3.951,2.198,1.041,1.08,3.579,3.85,3.178,3.408,0.543,0.642,1.977,4.179,4.34,4.075,4.497,3.043,4.0,1.827,2.461,4.939,1.264,2.698,1.52,3.598,3.058,2.123,3.524,1.576,0.919,3.191,0.675,3.598,4.357,0.631,4.607,2.516,2.982
4.247,4.04,0.0,2.849,2.585,2.856,4.772,2.334,1.091,1.226,4.492,4.771,0.322,2.172,0.887,1.75,1.383,2.171,3.647,1.204,1.287,4.545,4.234,0.83,4.493,3.94,1.544,4.346,4.366,0.916,2.182,3.767,1.946,2.439,0.909,2.181,3.468,1.653,1.603,3.927,1.179,3.47,1.303,1.379,4.438,4.508,1.152,4.682,4.625,3.38
4.4,4.924,1.368,0.0,2.109,1.725,1.036,2.169,3.641,0.871,1.76,2.012,0.831,3.225,3.644,3.336,1.053,1.186,0.12,1.886,2.632,3.069,2.681,1.278,0.802,4.687,2.938,1.696,2.997,1.372,3.199,0.952,4.031,4.844,0.294,0.284,0.734,3.115,2.4,0.587,2.579,3.604,1.891,3.797,3.384,2.313,2.972,4.628,1.619,4.711
2.12,2.376,1.345,3.572,0.0,3.864,4.759,4.228,2.319,3.43,3.35,2.616,4.525,0.606,4.598,0.418,0.374,3.029,4.516,2.217,3.075,1.433,4.932,0.919,3.022,0.701,2.726,2.223,3.47,1.947,0.198,3.703,0.126,0.339,4.843,4.671,1.838,0.758,0.731,1.843,2.146,3.79,3.657,3.599,3.616,0.829,1.643,2.749,4.91,4.507
1.066,4.117,0.174,2.452,2.325,0.0,2.911,3.175,1.734,3.781,4.195,3.176,0.565,4.904,1.821,4.446,4.308,3.849,1.027,2.097,4.93,2.079,4.979,4.09,0.23,1.841,3.929,3.255,4.588,0.917,1.168,2.357,1.268,4.991,2.351,1.204,0.474,4.566,4.288,3.055,3.562,4.158,4.231,3.32,3.239,1.194,4.121,2.966,1.352,3.197
3.114,1.153,4.001,4.679,3.374,1.589,0.0,1.763,2.68,3.716,4.972,4.241,4.014,3.728,0.115,1.811,3.323,2.284,3.14,0.75,0.866,0.311,4.321,3.517,2.479,4.498,3.618,0.833,3.212,2.024,1.427,0.631,0.385,1.306,0.103,4.742,1.451,3.665,1.798,2.672,4.087,0.301,0.529,1.079,2.719,0.516,4.152,1.079,2.545,0.471
3.08,4.083,1.532,3.574,1.663,4.393,1.221,0.0,0.114,2.556,2.869,2.583,1.165,4.002,1.371,0.949,1.783,4.82,0.513,1.11,3.06,0.437,3.761,4.621,0.481,0.39,0.983,4.902,2.121,4.925,0.17,1.499,4.857,3.495,0.534,1.373,3.026,1.572,2.404,3.39,2.944,4.002,2.947,4.061,3.825,3.114,1.004,4.535,3.244,0.677
0.164,4.504,0.37,1.206,2.889,0.215,0.953,1.571,0.0,0.97,3.34,3.485,0.579,2.272,3.114,2.432,2.551,4.558,1.397,0.714,0.892,1.991,3.813,2.357,4.378,1.95,1.106,0.188,2.418,3.999,0.397,4.102,4.375,0.428,0.769,1.832,4.367,2.503,4.065,2.092,0.658,1.061,2.86,4.679,2.927,0.946,2.416,2.366,4.53,1.633
