700
45
10,17,8,2,14,16,22,9,16,25,22,29,29,21,7,0,11,9,20,28,10,20,3,4,3,16,11,27,24,14,14,13,20,8,27,1,26,27,2,30,20,17,8,5,35
0.847,0.285,0.779,0.261,0.525,0.321,0.757,0.317,0.409,0.37,0.875,0.75,0.759,0.05,0.686,0.879,0.802,0.9,0.536,0.786,0.387,0.398,0.906,0.404,0.856,0.821,0.055,0.756,0.388,0.379,0.237,0.003,0.387,0.55,0.896,0.102,0.513,0.355,0.679,0.035,0.873,0.923,0.749,0.674,0.419
10.053,11.527,9.76,17.071,19.269,14.028,14.116,10.337,5.442,6.612,15.773,10.135,17.545,11.496,18.307,12.315,13.231,19.193,17.535,17.761,10.786,15.447,7.109,16.009,10.479,8.664,8.911,19.119,19.823,9.84,10.933,11.174,10.303,6.827,6.537,18.143,9.087,7.537,5.373,9.01,16.37,15.67,11.83,15.908,5.962
0.0,3.126,3.0,0.13,0.287,0.621,0.849,0.817,0.123,2.173,0.256,4.248,0.397,1.889,2.68,4.443,3.908,0.891,1.238,3.191,3.028,4.748,4.208,3.517,0.782,1.439,4.174,0.918,2.274,2.653,2.779,3.675,2.51,4.365,2.696,1.385,3.231,1.072,1.771,1.276,2.421,2.377,0.747,2.302,3.481
3.663,0.0,3.473,1.396,0.77,2.796,4.931,4.906,2.727,4.438,4.61,3.246,4.376,1.964,1.054,1.359,0.364,1.245,1.458,2.234,1.075,1.578,4.541,3.338,2.75,1.768,0.145,4.88,0.439,3.837,0.789,2.266,4.366,2.312,0.496,4.505,3.517,0.782,0.135,2.383,4.778,0.418,3.595,2.68,0.934
0.758,4.804,0.0,0.524,4.394,3.119,3.007,4.939,1.582,3.75,4.786,0.704,2.074,2.276,4.386,0.806,0.778,3.685,3.472,0.913,1.11,1.362,2.355,1.093,0.686,0.239,1.858,2.135,3.045,2.021,4.9,1.492,2.761,1.494,0.647,0.525,1.705,2.203,1.36,0.855,4.44,0.218,2.014,1.146,0.613
3.737,1.135,3.363,0.0,3.399,0.931,3.51,4.006,0.162,1.701,4.578,1.607,0.494,0.391,1.161,1.16,2.361,0.107,1.723,3.901,0.243,2.606,1.516,4.157,1.889,3.938,1.958,3.41,2.878,4.834,2.653,4.403,3.37,4.887,3.135,2.341,2.686,3.129,3.855,0.979,2.406,4.775,3.013,4.409,0.306
1.373,2.945,4.521,2.035,0.0,4.492,0.349,3.775,1.932,3.328,1.877,3.134,1.919,3.895,2.257,2.971,4.859,0.299,0.987,0.218,4.985,0.478,4.433,0.714,1.843,2.296,3.658,3.839,4.91,3.518,4.92,2.984,2.733,1.572,4.976,3.805,3.074,2.595,2.835,0.733,3.121,1.575,4.498,2.654,0.159
2.433,3.668,3.688,0.41,0.373,0.0,3.642,2.206,4.926,1.397,3.051,4.193,1.264,2.644,4.296,4.34,1.01,4.584,1.531,4.017,3.134,2.205,4.089,2.025,3.433,0.23,0.729,0.182,3.377,3.848,4.503,0.622,1.553,2.445,4.987,4.305,2.747,4.911,0.696,3.803,0.87,3.653,2.138,0.727,1.603
2.39,4.148,0.132,0.774,1.669,4.103,0.0,4.232,4.377,2.601,1.241,2.931,0.559,0.322,0.124,4.748,2.799,2.112,1.575,1.704,4.545,2.487,0.512,3.746,1.909,4.235,4.486,2.932,3.649,0.461,1.991,1.464,0.326,2.638,4.887,1.668,3.537,2.347,2.209,4.492,2.907,1.135,0.475,2.711,0.47
