500
35
21,4,14,13,24,28,6,20,25,28,27,30,14,13,6,8,16,8,13,0,13,0,17,27,3,26,3,3,9,11,18,4,3,14,31
0.652,0.466,0.051,0.36,0.399,0.439,0.324,0.076,0.365,0.984,0.686,0.968,0.533,0.249,0.193,0.378,0.036,0.591,0.726,0.762,0.466,0.723,0.046,0.137,0.854,0.869,0.902,0.42,0.943,0.086,0.569,0.021,0.512,0.212,0.49
7.194,12.552,19.868,14.754,18.496,19.829,12.166,5.246,7.421,16.747,13.056,19.656,9.403,7.598,5.327,17.13,5.65,9.139,5.431,13.209,10.141,15.013,16.522,10.595,16.899,10.454,6.012,13.016,12.137,9.418,14.134,10.259,5.568,13.856,9.369
0.0,3.082,3.91,2.672,1.402,3.714,1.928,0.735,3.821,4.857,4.191,4.406,2.589,4.788,3.823,2.849,1.193,1.697,4.126,2.237,4.288,1.158,2.528,4.875,0.422,1.957,1.03,1.699,2.69,4.221,4.517,1.466,4.02,1.814,2.59
4.158,0.0,4.077,4.51,3.443,0.905,0.724,3.613,1.021,1.386,3.667,3.535,3.238,0.421,1.267,2.405,2.925,4.125,0.178,0.119,0.856,1.831,4.71,4.161,2.254,4.764,3.732,2.041,2.981,1.204,1.965,0.713,3.751,0.467,3.565
2.786,1.444,0.0,3.892,3.879,3.341,2.008,3.386,4.088,1.577,2.845,0.265,3.006,0.383,2.825,2.703,4.55,3.398,0.35,4.562,1.371,2.34,4.152,1.316,3.945,3.214,1.221,3.166,1.985,2.243,2.107,4.554,1.825,0.4,1.313
0.721,1.705,0.311,0.0,1.643,3.123,1.851,1.767,1.417,3.18,4.767,0.493,1.972,4.309,3.912,2.061,3.816,4.254,0.152,0.687,4.07,2.897,1.617,4.66,1.651,4.076,1.132,2.446,0.988,0.509,2.071,2.852,1.315,0.243,0.284
4.735,1.92,4.779,4.069,0.0,2.565,1.742,1.003,0.415,3.583,2.323,2.456,2.221,1.871,3.317,2.295,1.667,2.485,2.498,2.423,4.896,2.219,2.318,3.507,2.465,4.512,2.803,4.372,2.114,1.24,2.537,4.511,1.687,0.599,4.227
1.72,2.579,2.565,1.848,0.999,0.0,0.341,0.425,2.208,4.475,2.424,1.478,2.027,1.11,0.553,2.825,4.239,2.964,1.009,4.432,1.104,2.84,2.969,4.199,3.686,3.812,1.036,3.008,2.945,4.415,1.113,2.109,1.644,0.22,0.886
3.477,3.152,3.935,0.948,2.612,0.547,0.0,1.298,1.333,4.586,2.653,2.793,3.665,4.398,2.502,1.669,1.592,0.219,1.666,4.044,3.001,0.836,0.879,3.089,2.286,2.152,1.172,2.618,1.121,4.805,1.346,0.622,3.402,4.967,1.303
1.581,1.413,4.243,3.454,3.929,0.996,0.931,0.0,2.84,1.734,1.071,2.29,2.365,3.192,0.458,2.305,4.446,4.018,2.634,4.947,4.363,2.501,2.514,0.898,1.872,4.079,1.145,4.77,2.151,1.769,3.092,2.642,1.732,2.533,0.434
2.115,2.015,1.707,3.868,0.841,1.858,0.258,3.219,0.0,2.224,3.699,1.616,2.064,0.596,1.351,3.54,2.403,2.837,3.479,3.352,0.695,3.457,3.178,1.756,4.097,4.111,2.97,2.828,1.907,4.94,3.718,1.502,3.406,4.847,2.813
0.232,2.382,2.694,1.152,0.451,3.713,3.183,0.501,4.024,0.0,3.355,1.335,0.347,0.112,4.743,2.31,4.464,2.342,3.132,3.824,4.428,3.0,3.83,3.464,0.893,4.376,2.876,0.312,2.86,3.104,2.312,3.935,0.212,3.412,2.158
0.809,0.758,1.299,2.608,4.961,4.625,0.33,0.901,1.824,1.23,0.0,4.127,3.203,3.116,2.409,1.362,4.109,0.65,1.28,4.657,4.464,2.852,3.619,0.601,1.424,3.588,0.139,3.971,1.133,4.784,4.398,3.292,2.572,4.272,4.207
3.149,2.258,2.659,2.484,2.207,0.898,4.118,3.237,4.849,4.287,0.31,0.0,4.457,2.07,0.434,3.876,1.687,4.269,2.807,4.469,4.619,2.411,0.967,4.529,1.183,4.218,1.492,1.255,4.978,2.512,3.235,2.235,0.491,3.193,1.513
4.092,4.343,2.513,2.896,2.567,1.838,2.4,2.672,0.437,1.951,2.363,3.232,0.0,1.867,2.079,3.763,3.684,2.94,1.844,3.547,1.996,1.798,4.825,1.901,3.457,2.56,1.085,2.133,4.415,2.156,2.048,2.103,1.305,2.135,3.651
3.406,4.507,0.125,4.628,4.426,3.543,0.942,1.493,4.216,4.451,3.462,1.531,1.429,0.0,2.324,2.438,2.599,0.329,1.797,0.386,3.838,0.574,4.945,1.03,2.997,1.748,4.98,0.229,0.325,2.376,2.973,4.816,3.483,0.396,1.898
3.224,3.841,3.873,3.202,3.508,1.1,1.524,3.284,3.331,3.348,4.472,2.945,2.299,1.892,0.0,2.537,4.755,0.992,4.762,0.892,2.907,1.447,2.469,2.093,0.883,3.203,1.467,0.428,3.005,2.39,0.238,2.67,3.63,2.233,4.989
0.867,2.512,1.842,4.617,3.842,3.647,3.313,0.157,4.051,2.236,3.81,3.043,3.215,4.232,0.692,0.0,4.081,2.201,0.123,4.08,3.27,3.049,2.493,1.156,1.669,1.71,1.453,2.22,1.805,1.85,1.346,0.564,1.461,3.373,4.439
1.661,4.754,4.688,3.506,2.82,1.433,2.922,1.903,0.477,4.11,1.161,1.924,0.921,4.26,0.796,1.082,0.0,3.141,2.313,3.479,0.616,4.216,2.358,4.183,1.813,3.796,0.86,2.05,4.311,3.397,4.644,0.696,0.552,2.96,1.386
3.555,1.002,0.923,2.508,2.203,2.492,0.413,2.33,4.317,1.473,4.84,2.219,0.808,2.022,3.284,1.57,4.699,0.0,2.387,0.49,1.523,2.388,3.948,0.898,1.116,4.738,0.558,2.645,4.495,2.523,0.575,0.711,2.457,3.531,1.325
4.542,1.628,0.931,3.021,2.823,1.346,4.71,4.726,1.952,1.678,4.726,1.77,2.104,4.594,0.551,4.09,0.338,1.165,0.0,3.755,1.32,1.032,3.208,2.405,4.15,4.649,2.369,0.399,1.243,3.806,1.38,3.46,1.059,0.488,0.327
